Startdatum,Enddatum,Ort,Anzahl der Waldbrände,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar
2010-03-01,2010-03-31,Brandenburg,4,1,31,4.5129032258064505,20.816129032258065,1.6612903225806452,81.19354838709677,1030796
2010-03-01,2010-03-31,Bremen,0,1,31,4.751612903225808,20.97419354838709,2.086129032258065,84.64516129032258,461
2010-03-01,2010-03-31,Hamburg,0,1,31,4.02258064516129,21.11290322580646,2.247096774193548,86.19354838709677,4016
2010-03-01,2010-03-31,Hessen,1,1,31,4.041935483870967,18.280645161290323,1.8103225806451613,85.2258064516129,839306
2010-03-01,2010-03-31,Mecklenburg-Vorpommern,0,1,31,3.803225806451613,23.76129032258065,1.6593548387096777,85.7741935483871,490225
2010-03-01,2010-03-31,Niedersachsen,3,1,31,4.019354838709678,21.16129032258064,2.4958064516129035,85.19354838709677,1014470
2010-03-01,2010-03-31,Nordrhein-Westfalen,1,1,31,5.116129032258065,20.59032258064516,2.121290322580645,84.90322580645162,849507
2010-03-01,2010-03-31,Rheinland-Pfalz,1,1,31,4.619354838709677,20.40967741935484,1.713225806451613,81.93548387096774,805440
2010-03-01,2010-03-31,Saarland,0,1,31,4.148387096774194,20.75161290322581,1.9387096774193548,81.64516129032258,85623
2010-03-01,2010-03-31,Sachsen,2,1,31,3.2516129032258063,19.25806451612903,1.7774193548387094,88.0,495184
2010-03-01,2010-03-31,Sachsen-Anhalt,0,1,31,4.396774193548387,20.23870967741936,1.832258064516129,82.87096774193549,456545
2010-03-01,2010-03-31,Schleswig-Holstein,0,1,31,3.467741935483871,22.893548387096768,1.5083870967741937,86.83870967741936,162014
2010-03-01,2010-03-31,Thuringen,0,1,31,3.077419354838709,18.41290322580645,1.3325806451612905,86.51612903225806,527936
2010-04-01,2010-04-30,Baden-Wurttemberg,7,1,30,9.58,14.813333333333334,0.8273333333333334,73.43333333333334,1352564
2010-04-01,2010-04-30,Bayern,23,1,30,6.916666666666668,13.28,1.93,83.03333333333333,2487176
2010-04-01,2010-04-30,Berlin,2,1,30,9.096666666666666,17.103333333333335,0.5606666666666666,68.5,15752
2010-04-01,2010-04-30,Brandenburg,29,1,30,8.973333333333333,17.816666666666666,0.4759999999999999,70.9,1030796
2010-04-01,2010-04-30,Bremen,0,1,30,8.54,19.456666666666663,1.05,75.33333333333333,461
2010-04-01,2010-04-30,Hamburg,0,1,30,8.120000000000001,19.58333333333333,0.8666666666666667,76.1,4016
2010-04-01,2010-04-30,Hessen,7,1,30,9.54,14.696666666666664,0.8523333333333334,75.56666666666666,839306
2010-04-01,2010-04-30,Mecklenburg-Vorpommern,4,1,30,7.723333333333334,21.44333333333333,0.5733333333333331,76.66666666666667,490225
2010-04-01,2010-04-30,Niedersachsen,23,1,30,8.216666666666667,19.10333333333333,0.85,74.13333333333334,1014470
2010-04-01,2010-04-30,Nordrhein-Westfalen,3,1,30,8.97,17.206666666666667,0.8366666666666667,75.56666666666666,849507
2010-04-01,2010-04-30,Rheinland-Pfalz,5,1,30,9.256666666666668,15.713333333333331,1.1900000000000002,73.86666666666666,805440
2010-04-01,2010-04-30,Saarland,0,1,30,8.613333333333333,16.38,1.2166666666666666,73.9,85623
2010-04-01,2010-04-30,Sachsen,13,1,30,8.613333333333335,15.663333333333336,1.0066666666666666,74.1,495184
2010-04-01,2010-04-30,Sachsen-Anhalt,8,1,30,8.899999999999999,16.59666666666667,0.7766666666666667,72.2,456545
2010-04-01,2010-04-30,Schleswig-Holstein,0,1,30,7.566666666666666,21.8,1.2480000000000002,77.33333333333333,162014
2010-04-01,2010-04-30,Thuringen,4,1,30,7.946666666666666,14.7,0.7299999999999999,72.33333333333333,527936
2010-05-01,2010-05-31,Baden-Wurttemberg,0,1,31,11.20967741935484,14.3,4.009032258064517,81.93548387096774,1352564
2010-05-01,2010-05-31,Bayern,26,1,31,9.49032258064516,12.616129032258064,7.116451612903227,90.90322580645162,2487176
2010-05-01,2010-05-31,Berlin,0,1,31,11.380645161290325,15.36129032258065,3.325806451612903,78.2258064516129,15752
2010-05-01,2010-05-31,Brandenburg,4,1,31,11.122580645161287,16.045161290322575,3.4645161290322584,79.70967741935483,1030796
2010-05-01,2010-05-31,Bremen,0,1,31,9.806451612903226,18.445161290322577,2.114193548387097,80.61290322580645,461
2010-05-01,2010-05-31,Hamburg,0,1,31,9.725806451612904,18.42258064516129,2.975483870967742,81.90322580645162,4016
2010-05-01,2010-05-31,Hessen,0,1,31,11.2,14.432258064516132,4.402580645161291,83.64516129032258,839306
2010-05-01,2010-05-31,Mecklenburg-Vorpommern,1,1,31,9.816129032258065,20.53548387096773,2.845483870967742,81.70967741935483,490225
2010-05-01,2010-05-31,Niedersachsen,12,1,31,9.832258064516129,17.448387096774198,2.6903225806451614,82.12903225806451,1014470
2010-05-01,2010-05-31,Nordrhein-Westfalen,1,1,31,10.080645161290324,15.893548387096772,2.293225806451613,82.03225806451613,849507
2010-05-01,2010-05-31,Rheinland-Pfalz,3,1,31,10.796774193548387,13.98064516129032,3.5580645161290323,82.16129032258064,805440
2010-05-01,2010-05-31,Saarland,0,1,31,10.161290322580646,14.848387096774196,3.9383870967741936,82.09677419354838,85623
2010-05-01,2010-05-31,Sachsen,4,1,31,11.26451612903226,14.870967741935484,2.700645161290323,82.70967741935483,495184
2010-05-01,2010-05-31,Sachsen-Anhalt,1,1,31,11.083870967741932,15.574193548387097,3.6270967741935487,80.41935483870968,456545
2010-05-01,2010-05-31,Schleswig-Holstein,0,1,31,9.319354838709677,20.69677419354839,2.2306451612903224,78.12903225806451,162014
2010-05-01,2010-05-31,Thuringen,0,1,31,9.825806451612902,14.551612903225806,2.9029032258064515,79.35483870967742,527936
2010-06-01,2010-06-30,Baden-Wurttemberg,4,2,30,17.4,12.826666666666666,1.5076666666666665,73.43333333333334,1352564
2010-06-01,2010-06-30,Bayern,16,2,30,14.783333333333337,11.946666666666664,7.630333333333334,84.66666666666667,2487176
2010-06-01,2010-06-30,Berlin,0,2,30,17.82333333333333,14.553333333333333,0.3833333333333333,65.13333333333334,15752
2010-06-01,2010-06-30,Brandenburg,63,2,30,17.41333333333333,14.533333333333337,0.5566666666666666,67.9,1030796
2010-06-01,2010-06-30,Bremen,0,2,30,15.823333333333332,16.08333333333333,1.1686666666666667,75.6,461
2010-06-01,2010-06-30,Hamburg,0,2,30,15.833333333333336,15.166666666666668,1.603333333333333,77.73333333333333,4016
2010-06-01,2010-06-30,Hessen,3,2,30,17.076666666666668,12.613333333333337,2.361333333333334,76.9,839306
2010-06-01,2010-06-30,Mecklenburg-Vorpommern,3,2,30,15.506666666666668,17.189999999999998,1.0226666666666666,75.0,490225
2010-06-01,2010-06-30,Niedersachsen,30,2,30,16.163333333333334,14.53,0.6196666666666667,75.53333333333333,1014470
