Startdatum,Enddatum,Ort,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar,Anzahl der Waldbrände
2011-11-01,2011-11-30,Nordrhein-Westfalen,3,30,6.6,16.0,0.2,85.4,849507,1
2018-02-01,2018-02-28,Brandenburg,4,28,-0.9,14.2,0.3,70.4,1030796,0
2015-07-01,2015-07-31,Hamburg,2,31,18.0,25.3,3.3,69.5,4016,0
2022-01-01,2022-01-31,Bayern,4,31,-1.3,11.7,2.9,87.0,2492436,0
2019-06-01,2019-06-30,Sachsen-Anhalt,2,30,21.6,15.7,1.3,71.2,456545,28
2021-10-01,2021-10-31,Rheinland-Pfalz,3,31,9.9,15.1,1.8,79.1,807783,2
2015-10-01,2015-10-31,Bayern,3,31,6.6,8.9,3.8,84.9,2487176,2
2016-04-01,2016-04-30,Sachsen-Anhalt,1,30,8.8,18.0,1.1,70.2,456545,6
2013-03-01,2013-03-31,Nordrhein-Westfalen,1,31,1.3,19.0,1.3,80.9,849507,1
2021-05-01,2021-05-31,Niedersachsen,1,31,10.4,18.0,3.5,80.1,1032694,11
2013-07-01,2013-07-31,Mecklenburg-Vorpommern,2,31,19.1,15.9,0.8,72.3,490225,8
2011-04-01,2011-04-30,Baden-Wurttemberg,1,30,12.6,12.5,0.5,66.9,1352564,12
2013-11-01,2013-11-30,Hessen,3,30,4.5,15.4,3.9,88.3,839306,0
2010-05-01,2010-05-31,Hessen,1,31,11.2,14.4,4.4,83.6,839306,0
2015-03-01,2015-03-31,Sachsen-Anhalt,1,31,5.7,22.9,1.2,74.9,456545,4
2020-02-01,2020-02-29,Berlin,4,29,5.4,27.2,3.3,74.8,15752,0
2022-10-01,2022-10-31,Sachsen-Anhalt,3,31,13.5,16.2,1.6,74.1,460769,0
2010-05-01,2010-05-31,Nordrhein-Westfalen,1,31,10.1,15.9,2.3,82.0,849507,1
2021-04-01,2021-04-30,Rheinland-Pfalz,1,30,6.8,16.8,1.5,71.7,807783,2
2011-10-01,2011-10-31,Schleswig-Holstein,3,31,10.1,22.0,1.7,85.6,162014,0
2021-11-01,2021-11-30,Sachsen-Anhalt,3,30,6.3,15.9,1.7,81.7,460769,0
2018-04-01,2018-04-30,Bayern,1,30,10.9,10.8,1.9,76.0,2487176,25
2012-09-01,2012-09-30,Thuringen,3,30,13.5,13.9,1.1,73.1,527936,2
2017-10-01,2017-10-31,Thuringen,3,31,10.8,21.8,1.7,83.8,527936,0
2021-01-01,2021-01-31,Schleswig-Holstein,4,31,1.0,20.8,2.3,87.6,162582,0
2010-05-01,2010-05-31,Sachsen,1,31,11.3,14.9,2.7,82.7,495184,4
2021-10-01,2021-10-31,Saarland,3,31,9.5,14.5,2.2,80.6,87481,0
2022-05-01,2022-05-31,Berlin,1,31,15.3,18.7,0.9,61.8,15776,3
2010-10-01,2010-10-31,Sachsen-Anhalt,3,31,8.1,16.5,0.7,84.5,456545,0
2013-12-01,2013-12-31,Sachsen-Anhalt,4,31,3.8,22.4,1.3,83.1,456545,0
2020-08-01,2020-08-31,Bremen,2,31,19.8,18.6,2.1,76.7,461,0
2010-09-01,2010-09-30,Mecklenburg-Vorpommern,3,30,13.1,20.7,3.9,84.1,490225,0
2012-06-01,2012-06-30,Thuringen,2,30,14.7,15.2,2.8,80.5,527936,0
2015-06-01,2015-06-30,Schleswig-Holstein,2,30,13.6,23.6,1.2,74.0,162014,0
2021-12-01,2021-12-31,Bremen,4,31,3.5,19.7,2.1,87.5,436,0
2020-07-01,2020-07-31,Berlin,2,31,18.9,16.6,2.0,62.7,15752,1
2019-07-01,2019-07-31,Bremen,2,31,18.1,17.7,1.5,78.3,461,0
2010-04-01,2010-04-30,Brandenburg,1,30,9.0,17.8,0.5,70.9,1030796,29
2019-10-01,2019-10-31,Schleswig-Holstein,3,31,10.2,20.6,4.1,87.3,162014,0
2016-06-01,2016-06-30,Thuringen,2,30,16.8,12.9,2.2,81.5,527936,0
2013-01-01,2013-01-31,Hamburg,4,31,0.3,22.2,1.9,93.0,4016,0
2011-07-01,2011-07-31,Bayern,2,31,14.0,10.8,4.7,86.7,2487176,6
2022-10-01,2022-10-31,Schleswig-Holstein,3,31,12.1,21.2,1.7,84.6,162582,0
2017-05-01,2017-05-31,Hessen,1,31,14.8,10.5,2.5,79.8,839306,9
2018-04-01,2018-04-30,Niedersachsen,1,30,11.6,17.1,2.0,76.6,1014470,10
2014-02-01,2014-02-28,Bremen,4,28,4.9,24.7,1.7,84.9,461,0
2021-02-01,2021-02-28,Saarland,4,28,3.3,17.1,2.6,83.4,87481,0
2017-03-01,2017-03-31,Bremen,1,31,7.1,20.7,2.1,82.2,461,0
2019-12-01,2019-12-31,Sachsen-Anhalt,4,31,4.4,18.2,1.3,81.3,456545,0
2011-07-01,2011-07-31,Brandenburg,2,31,17.3,18.2,7.0,78.5,1030796,15
2018-11-01,2018-11-30,Schleswig-Holstein,3,30,6.0,19.0,1.0,86.2,162014,0
2015-06-01,2015-06-30,Sachsen-Anhalt,2,30,16.5,19.3,1.7,67.7,456545,20
2017-08-01,2017-08-31,Bremen,2,31,17.3,17.2,1.8,78.5,461,0
2022-02-01,2022-02-28,Thuringen,4,28,3.4,29.7,2.3,82.2,540752,0
2012-10-01,2012-10-31,Baden-Wurttemberg,3,31,9.8,14.2,1.8,80.5,1352564,0
2018-03-01,2018-03-31,Niedersachsen,1,31,1.7,17.7,1.8,75.9,1014470,6
2015-11-01,2015-11-30,Saarland,3,30,7.0,22.1,3.5,88.7,85623,0
2012-02-01,2012-02-29,Hessen,4,1,-2.9,13.0,0.7,82.4,839306,0
2022-11-01,2022-11-30,Thuringen,3,30,5.7,13.7,1.1,83.8,540752,1
2012-10-01,2012-10-31,Bremen,3,31,9.2,19.4,2.6,85.0,461,0
2022-07-01,2022-07-31,Bremen,2,31,18.4,20.6,2.0,63.5,436,0
2014-04-01,2014-04-30,Brandenburg,1,30,11.8,17.5,1.4,72.1,1030796,9
2017-10-01,2017-10-31,Saarland,3,31,10.7,15.6,1.7,85.9,85623,0
2021-02-01,2021-02-28,Berlin,4,28,0.5,15.3,1.2,84.5,15776,0
2011-10-01,2011-10-31,Hessen,3,31,10.0,11.4,2.1,82.4,839306,1
2015-07-01,2015-07-31,Bayern,2,31,19.4,10.7,4.5,76.1,2487176,23
2018-12-01,2018-12-31,Rheinland-Pfalz,4,31,4.2,19.5,4.5,84.3,805440,0
2019-09-01,2019-09-30,Berlin,3,30,16.1,17.9,2.2,66.2,15752,0
2017-07-01,2017-07-31,Hamburg,2,31,16.7,17.6,4.1,83.9,4016,0
2011-07-01,2011-07-31,Saarland,2,31,15.2,15.1,3.1,79.9,85623,0
2019-08-01,2019-08-31,Berlin,2,31,22.0,15.1,1.5,58.4,15752,1
2013-11-01,2013-11-30,Hamburg,3,30,5.4,19.3,2.1,89.5,4016,0
2017-07-01,2017-07-31,Sachsen,2,31,18.9,16.6,3.2,76.4,495184,3
2020-07-01,2020-07-31,Mecklenburg-Vorpommern,2,31,16.1,22.3,2.1,78.5,490225,3
2019-11-01,2019-11-30,Bremen,3,30,5.8,18.7,2.5,88.5,461,0
2016-01-01,2016-01-31,Mecklenburg-Vorpommern,4,31,0.3,28.5,1.6,85.4,490225,0
2011-02-01,2011-02-28,Sachsen,4,28,-1.6,18.0,0.7,85.5,495184,0
2013-05-01,2013-05-31,Nordrhein-Westfalen,1,31,11.6,17.1,2.9,82.8,849507,3
2014-08-01,2014-08-31,Niedersachsen,2,31,16.6,17.3,1.8,74.3,1014470,3
2012-08-01,2012-08-31,Saarland,2,31,18.4,14.3,1.7,78.8,85623,0
2021-08-01,2021-08-31,Sachsen-Anhalt,2,31,17.7,16.4,4.0,71.4,460769,4
2012-09-01,2012-09-30,Rheinland-Pfalz,3,30,14.0,12.7,2.2,79.3,805440,3
2015-02-01,2015-02-28,Rheinland-Pfalz,4,28,0.7,15.9,1.3,87.4,805440,0
2013-05-01,2013-05-31,Mecklenburg-Vorpommern,1,31,12.5,18.4,4.0,82.9,490225,3
2010-06-01,2010-06-30,Bremen,2,30,15.8,16.1,1.2,75.6,461,0
2015-05-01,2015-05-31,Bayern,1,31,11.2,9.8,7.3,84.3,2487176,5
2020-08-01,2020-08-31,Schleswig-Holstein,2,31,18.8,18.9,2.2,76.5,162014,0
2014-03-01,2014-03-31,Baden-Wurttemberg,1,31,7.9,13.4,0.5,73.7,1352564,3
2019-08-01,2019-08-31,Saarland,2,31,18.8,12.3,2.0,72.6,85623,1
2016-05-01,2016-05-31,Mecklenburg-Vorpommern,1,31,13.7,22.0,1.6,78.0,490225,8
2012-05-01,2012-05-31,Sachsen-Anhalt,1,31,14.9,15.9,1.5,76.1,456545,29
2010-07-01,2010-07-31,Sachsen-Anhalt,2,31,22.4,13.0,2.0,56.7,456545,45
2022-01-01,2022-01-31,Bremen,4,31,4.4,23.5,1.8,85.6,436,0
2011-11-01,2011-11-30,Berlin,3,30,4.6,15.2,0.0,84.4,15752,0
2015-04-01,2015-04-30,Brandenburg,1,30,8.9,20.8,0.7,71.1,1030796,51
2022-06-01,2022-06-30,Bayern,2,30,17.4,9.9,5.3,77.4,2492436,9
2012-08-01,2012-08-31,Sachsen-Anhalt,2,31,19.4,13.6,1.2,69.0,456545,10
2018-09-01,2018-09-30,Brandenburg,3,30,16.7,15.8,1.1,66.0,1030796,34
2011-07-01,2011-07-31,Berlin,2,31,17.7,19.6,8.4,74.6,15752,0
2020-07-01,2020-07-31,Sachsen-Anhalt,2,31,18.0,15.3,1.6,73.1,456545,12
2013-11-01,2013-11-30,Niedersachsen,3,30,5.1,19.7,1.9,90.4,1014470,0
2012-03-01,2012-03-31,Baden-Wurttemberg,1,31,7.8,12.8,0.6,76.6,1352564,15
2012-06-01,2012-06-30,Niedersachsen,2,30,14.1,17.7,2.6,87.1,1014470,6
2019-09-01,2019-09-30,Bremen,3,30,14.3,19.8,2.6,79.4,461,0
2015-02-01,2015-02-28,Berlin,4,28,1.5,16.6,0.2,87.1,15752,0
2012-02-01,2012-02-29,Berlin,4,1,-2.3,18.9,1.1,85.5,15752,0
2019-06-01,2019-06-30,Sachsen,2,30,21.4,14.6,1.1,71.7,495184,39
2015-08-01,2015-08-31,Thuringen,2,31,20.0,13.4,2.3,69.1,527936,27
2014-03-01,2014-03-31,Nordrhein-Westfalen,1,31,8.1,18.4,0.6,74.2,849507,6
2020-08-01,2020-08-31,Thuringen,2,31,19.7,15.0,2.8,73.9,527936,5
2022-07-01,2022-07-31,Thuringen,2,31,18.9,17.7,1.2,59.4,540752,32
2015-09-01,2015-09-30,Bayern,3,30,10.9,10.7,3.7,84.3,2487176,7
2011-02-01,2011-02-28,Bremen,4,28,1.4,23.9,1.3,85.3,461,0
2019-07-01,2019-07-31,Rheinland-Pfalz,2,31,20.2,13.5,1.4,70.1,805440,15
2014-12-01,2014-12-31,Baden-Wurttemberg,4,31,2.8,16.2,3.3,89.7,1352564,0
2015-11-01,2015-11-30,Hamburg,3,30,8.2,28.5,4.2,84.2,4016,0
2019-04-01,2019-04-30,Mecklenburg-Vorpommern,1,30,8.8,22.0,1.0,75.1,490225,18
2013-12-01,2013-12-31,Bremen,4,31,4.5,25.6,1.6,89.2,461,0
2022-12-01,2022-12-31,Mecklenburg-Vorpommern,4,31,1.7,23.6,2.4,87.3,495207,0
2018-03-01,2018-03-31,Sachsen-Anhalt,1,31,2.1,18.7,2.0,74.7,456545,4
2015-11-01,2015-11-30,Thuringen,3,30,6.9,19.8,2.3,85.5,527936,0
2011-06-01,2011-06-30,Hessen,2,30,16.8,12.8,2.9,82.5,839306,2
2013-11-01,2013-11-30,Baden-Wurttemberg,3,30,4.6,15.4,3.8,88.5,1352564,1
2020-10-01,2020-10-31,Mecklenburg-Vorpommern,3,31,10.9,26.9,1.8,81.8,490225,1
2020-11-01,2020-11-30,Mecklenburg-Vorpommern,3,30,7.6,24.1,0.7,83.9,490225,0
2021-11-01,2021-11-30,Hessen,3,30,5.3,11.6,1.8,83.2,841562,0
2015-11-01,2015-11-30,Bayern,3,30,4.7,12.0,2.3,77.0,2487176,0
2010-02-01,2010-02-28,Berlin,4,28,-1.1,17.1,1.0,97.9,15752,0
2020-09-01,2020-09-30,Sachsen,3,30,16.0,13.0,1.8,71.1,495184,8
2022-03-01,2022-03-31,Saarland,1,31,6.0,14.8,1.1,68.5,87481,3
2018-11-01,2018-11-30,Sachsen,3,30,5.3,17.8,0.5,78.1,495184,1
2015-05-01,2015-05-31,Sachsen,1,31,13.3,18.5,0.6,69.4,495184,12
2013-03-01,2013-03-31,Sachsen-Anhalt,1,31,-1.4,17.8,1.1,90.7,456545,3
2022-08-01,2022-08-31,Nordrhein-Westfalen,2,31,21.7,14.5,1.3,53.9,845939,62
2014-05-01,2014-05-31,Nordrhein-Westfalen,1,31,12.8,15.8,3.7,81.0,849507,6
2013-06-01,2013-06-30,Hessen,2,30,16.2,12.6,2.8,79.8,839306,0
2015-04-01,2015-04-30,Nordrhein-Westfalen,1,30,8.9,19.8,1.5,72.4,849507,1
2017-07-01,2017-07-31,Brandenburg,2,31,18.4,16.8,4.5,79.2,1030796,5
2011-02-01,2011-02-28,Saarland,4,28,1.7,14.1,1.1,90.3,85623,0
2013-02-01,2013-02-28,Mecklenburg-Vorpommern,4,28,-0.6,22.3,1.2,91.9,490225,0
2016-01-01,2016-01-31,Sachsen-Anhalt,4,31,0.4,21.2,1.5,87.0,456545,0
2011-07-01,2011-07-31,Thuringen,2,31,15.9,17.6,2.4,76.8,527936,0
2018-12-01,2018-12-31,Schleswig-Holstein,4,31,4.8,22.7,2.2,88.2,162014,0
2014-02-01,2014-02-28,Schleswig-Holstein,4,28,4.2,26.3,2.2,89.9,162014,0
2018-05-01,2018-05-31,Nordrhein-Westfalen,1,31,17.6,15.8,1.1,64.6,849507,6
2018-03-01,2018-03-31,Rheinland-Pfalz,1,31,4.0,17.7,2.1,79.9,805440,0
2014-11-01,2014-11-30,Sachsen-Anhalt,3,30,6.7,15.8,0.3,85.0,456545,0
2013-02-01,2013-02-28,Sachsen-Anhalt,4,28,-0.8,17.6,1.4,92.9,456545,0
2017-10-01,2017-10-31,Baden-Wurttemberg,3,31,12.0,13.9,2.7,77.3,1352564,1
2019-11-01,2019-11-30,Bayern,3,30,3.1,8.4,3.1,89.2,2487176,0
2020-02-01,2020-02-29,Niedersachsen,4,29,5.1,25.9,3.9,79.6,1014470,3
2012-11-01,2012-11-30,Rheinland-Pfalz,3,30,5.2,13.8,2.6,90.8,805440,0
2017-08-01,2017-08-31,Sachsen,2,31,19.5,15.8,2.3,71.8,495184,4
2014-06-01,2014-06-30,Sachsen-Anhalt,2,30,17.0,14.1,1.2,69.9,456545,8
2015-08-01,2015-08-31,Sachsen-Anhalt,2,31,21.7,18.0,3.1,61.9,456545,10
2011-01-01,2011-01-31,Baden-Wurttemberg,4,31,0.7,13.4,3.3,92.9,1352564,0
2010-11-01,2010-11-30,Schleswig-Holstein,3,30,4.3,23.0,3.9,90.2,162014,0
2015-04-01,2015-04-30,Thuringen,1,30,7.6,16.2,1.1,73.4,527936,3
2021-11-01,2021-11-30,Bremen,3,30,7.0,18.9,0.9,85.0,436,0
2017-07-01,2017-07-31,Saarland,2,31,18.1,16.6,3.9,83.5,85623,1
2019-11-01,2019-11-30,Berlin,3,30,6.9,17.0,1.7,82.2,15752,0
2016-05-01,2016-05-31,Nordrhein-Westfalen,1,31,14.1,19.3,1.3,76.2,849507,5
2010-09-01,2010-09-30,Baden-Wurttemberg,3,30,13.0,11.9,2.7,80.8,1352564,2
2011-10-01,2011-10-31,Bremen,3,31,10.1,19.8,1.7,86.8,461,0
2018-09-01,2018-09-30,Bremen,3,30,15.6,19.4,0.9,71.8,461,0
2018-06-01,2018-06-30,Bremen,2,30,17.2,18.0,0.9,81.0,461,0
2014-12-01,2014-12-31,Niedersachsen,4,31,2.3,26.3,2.3,90.2,1014470,0
2011-08-01,2011-08-31,Brandenburg,2,31,18.5,16.6,2.4,76.3,1030796,3
2011-12-01,2011-12-31,Thuringen,4,31,2.6,23.1,2.1,91.1,527936,1
2021-04-01,2021-04-30,Schleswig-Holstein,1,30,5.3,21.9,1.3,73.9,162582,0
2022-11-01,2022-11-30,Niedersachsen,3,30,7.1,15.9,1.3,78.9,1032694,34
2013-09-01,2013-09-30,Thuringen,3,30,12.6,14.2,1.8,81.7,527936,1
2010-12-01,2010-12-31,Bayern,4,31,-5.2,14.2,3.2,96.8,2487176,0
2012-03-01,2012-03-31,Rheinland-Pfalz,1,31,7.6,13.8,0.6,76.7,805440,7
2013-12-01,2013-12-31,Mecklenburg-Vorpommern,4,31,4.3,29.0,1.4,88.3,490225,0
2019-01-01,2019-01-31,Hessen,4,31,1.1,13.2,2.8,82.7,839306,0
2020-08-01,2020-08-31,Nordrhein-Westfalen,2,31,21.4,15.7,1.9,65.7,849507,30
2014-05-01,2014-05-31,Niedersachsen,1,31,12.4,18.2,2.5,80.5,1014470,5
2010-12-01,2010-12-31,Niedersachsen,4,31,-4.8,21.1,1.7,96.1,1014470,0
2014-07-01,2014-07-31,Brandenburg,2,31,21.1,14.6,3.3,69.8,1030796,37
2020-04-01,2020-04-30,Hamburg,1,30,9.2,16.2,0.6,69.8,4016,0
2018-06-01,2018-06-30,Sachsen,2,30,18.4,16.7,1.4,76.9,495184,21
2013-01-01,2013-01-31,Hessen,4,31,0.9,12.0,2.0,90.6,839306,0
2017-05-01,2017-05-31,Berlin,1,31,14.6,17.3,1.2,76.2,15752,1
2014-01-01,2014-01-31,Schleswig-Holstein,4,31,1.6,28.6,2.6,91.1,162014,0
2013-02-01,2013-02-28,Bremen,4,28,-0.1,19.9,1.2,91.4,461,0
2012-07-01,2012-07-31,Nordrhein-Westfalen,2,31,17.0,15.8,4.4,84.7,849507,1
2013-09-01,2013-09-30,Brandenburg,3,30,13.5,16.9,2.3,79.5,1030796,6
2014-01-01,2014-01-31,Sachsen-Anhalt,4,31,0.9,20.7,1.1,88.4,456545,0
2022-08-01,2022-08-31,Bremen,2,31,20.7,18.1,0.7,60.7,436,0
2013-06-01,2013-06-30,Schleswig-Holstein,2,30,14.0,20.1,3.5,82.9,162014,0
2018-07-01,2018-07-31,Bremen,2,31,20.2,17.6,0.4,69.1,461,0
2017-09-01,2017-09-30,Bayern,3,30,10.6,8.4,5.9,85.7,2487176,0
2013-06-01,2013-06-30,Sachsen,2,30,16.3,14.3,6.1,80.9,495184,0
2010-08-01,2010-08-31,Hessen,2,31,17.0,13.6,5.5,79.0,839306,0
2021-09-01,2021-09-30,Hessen,3,30,16.6,9.6,1.0,77.0,841562,6
2011-06-01,2011-06-30,Nordrhein-Westfalen,2,30,16.1,16.6,2.7,83.8,849507,2
2021-05-01,2021-05-31,Hessen,1,31,11.0,17.4,4.5,81.1,841562,3
2022-07-01,2022-07-31,Baden-Wurttemberg,2,31,22.0,12.8,1.1,53.9,1353043,25
2022-11-01,2022-11-30,Berlin,3,30,6.7,15.3,0.7,74.7,15776,0
2015-10-01,2015-10-31,Sachsen,3,31,8.4,14.3,1.9,80.6,495184,4
2022-09-01,2022-09-30,Hessen,3,30,15.2,13.8,3.6,75.0,841562,16
2011-11-01,2011-11-30,Schleswig-Holstein,3,30,6.2,21.4,0.3,90.0,162014,0
2016-12-01,2016-12-31,Berlin,4,31,2.6,17.9,1.5,88.0,15752,0
2012-11-01,2012-11-30,Saarland,3,30,4.6,14.7,2.5,91.8,85623,0
2020-08-01,2020-08-31,Berlin,2,31,22.5,16.1,1.4,57.9,15752,1
2022-08-01,2022-08-31,Baden-Wurttemberg,2,31,23.0,12.6,1.3,53.3,1353043,55
2016-07-01,2016-07-31,Thuringen,2,31,18.2,15.2,1.1,74.6,527936,1
2011-01-01,2011-01-31,Saarland,4,31,0.7,16.0,2.8,94.1,85623,0
2018-09-01,2018-09-30,Sachsen,3,30,16.2,15.1,1.7,68.6,495184,19
2010-08-01,2010-08-31,Niedersachsen,2,31,17.0,15.5,5.9,82.5,1014470,15
2011-06-01,2011-06-30,Saarland,2,30,15.8,16.3,2.8,79.5,85623,0
2012-12-01,2012-12-31,Thuringen,4,31,0.5,19.0,2.7,92.2,527936,0
2016-09-01,2016-09-30,Bayern,3,30,13.8,9.2,5.3,83.7,2487176,1
2018-06-01,2018-06-30,Sachsen-Anhalt,2,30,18.7,15.8,1.0,73.7,456545,22
2011-06-01,2011-06-30,Brandenburg,2,30,18.0,16.6,1.9,71.7,1030796,83
2014-11-01,2014-11-30,Bremen,3,30,7.1,18.5,0.8,89.1,461,0
2022-12-01,2022-12-31,Schleswig-Holstein,4,31,2.1,21.8,2.3,89.0,162582,0
2011-11-01,2011-11-30,Niedersachsen,3,30,4.4,18.1,0.0,89.4,1014470,2
2021-03-01,2021-03-31,Baden-Wurttemberg,1,31,5.7,13.6,2.2,75.3,1353043,1
2014-07-01,2014-07-31,Berlin,2,31,21.6,15.6,3.9,65.8,15752,0
2017-12-01,2017-12-31,Schleswig-Holstein,4,31,4.1,24.4,2.1,88.1,162014,0
2016-10-01,2016-10-31,Niedersachsen,3,31,9.0,17.8,0.9,85.9,1014470,3
2011-06-01,2011-06-30,Schleswig-Holstein,2,30,14.9,17.4,2.1,85.3,162014,0
2016-07-01,2016-07-31,Rheinland-Pfalz,2,31,18.4,14.3,1.3,79.4,805440,2
2018-01-01,2018-01-31,Sachsen-Anhalt,4,31,4.0,22.2,1.9,81.8,456545,1
2014-06-01,2014-06-30,Nordrhein-Westfalen,2,30,16.0,13.5,2.1,80.0,849507,1
2012-03-01,2012-03-31,Mecklenburg-Vorpommern,1,31,5.8,22.8,0.4,83.0,490225,4
2019-05-01,2019-05-31,Bremen,1,31,11.1,19.7,1.3,81.0,461,0
2015-09-01,2015-09-30,Thuringen,3,30,12.7,14.9,1.4,78.0,527936,0
2018-03-01,2018-03-31,Nordrhein-Westfalen,1,31,4.7,19.5,1.8,69.5,849507,1
2018-06-01,2018-06-30,Saarland,2,30,17.4,12.2,2.5,80.6,85623,0
2010-05-01,2010-05-31,Bayern,1,31,9.5,12.6,7.1,90.9,2487176,26
2018-07-01,2018-07-31,Brandenburg,2,31,21.8,13.8,0.5,62.4,1030796,116
2018-02-01,2018-02-28,Rheinland-Pfalz,4,28,-0.5,17.5,1.0,72.2,805440,0
2014-05-01,2014-05-31,Berlin,1,31,13.5,18.7,3.1,70.8,15752,0
2020-09-01,2020-09-30,Bremen,3,30,14.7,16.6,1.6,78.3,461,0
2011-03-01,2011-03-31,Hessen,1,31,6.3,13.2,0.9,78.2,839306,4
2019-12-01,2019-12-31,Bayern,4,31,0.2,10.2,3.8,81.5,2487176,0
2016-06-01,2016-06-30,Berlin,2,30,19.0,14.9,3.1,71.7,15752,0
2021-02-01,2021-02-28,Schleswig-Holstein,4,28,0.9,21.2,1.1,88.5,162582,0
2016-10-01,2016-10-31,Brandenburg,3,31,8.9,16.8,2.0,86.3,1030796,0
2020-07-01,2020-07-31,Sachsen,2,31,18.3,14.9,1.1,71.2,495184,23
2015-11-01,2015-11-30,Brandenburg,3,30,7.9,25.4,2.7,80.6,1030796,0
2015-07-01,2015-07-31,Berlin,2,31,20.0,19.9,2.5,64.3,15752,0
2011-12-01,2011-12-31,Hessen,4,31,3.7,20.5,6.6,89.8,839306,0
2020-06-01,2020-06-30,Rheinland-Pfalz,2,30,16.4,16.7,2.6,81.8,805440,10
2017-11-01,2017-11-30,Schleswig-Holstein,3,30,6.3,20.5,2.0,85.4,162014,0
2016-05-01,2016-05-31,Hessen,1,31,13.1,12.1,4.5,81.0,839306,9
2011-07-01,2011-07-31,Nordrhein-Westfalen,2,31,15.6,17.1,2.8,85.2,849507,10
2013-02-01,2013-02-28,Hessen,4,28,-0.9,13.3,3.0,90.7,839306,0
2017-08-01,2017-08-31,Rheinland-Pfalz,2,31,18.9,13.5,1.9,78.2,805440,2
2010-07-01,2010-07-31,Brandenburg,2,31,22.5,13.6,2.0,57.6,1030796,150
2014-05-01,2014-05-31,Hessen,1,31,13.1,15.2,2.2,76.4,839306,0
2019-08-01,2019-08-31,Nordrhein-Westfalen,2,31,20.4,15.8,2.4,61.4,849507,21
2016-05-01,2016-05-31,Bremen,1,31,13.9,20.6,1.6,77.5,461,0
2012-10-01,2012-10-31,Bayern,3,31,7.0,10.9,3.1,85.6,2487176,0
2021-07-01,2021-07-31,Rheinland-Pfalz,2,31,17.5,15.2,5.3,83.6,807783,0
2016-03-01,2016-03-31,Niedersachsen,1,31,4.4,22.3,0.9,80.5,1014470,0
2013-04-01,2013-04-30,Sachsen,1,30,8.0,15.1,1.2,84.6,495184,7
2021-06-01,2021-06-30,Bayern,2,30,17.6,9.1,4.8,78.8,2492436,2
2010-12-01,2010-12-31,Nordrhein-Westfalen,4,31,-3.2,18.9,2.4,96.4,849507,0
2022-07-01,2022-07-31,Schleswig-Holstein,2,31,17.2,23.0,1.5,69.3,162582,0
2020-06-01,2020-06-30,Baden-Wurttemberg,2,30,17.2,13.1,3.0,78.2,1352564,9
2020-04-01,2020-04-30,Hessen,1,30,13.4,11.9,0.4,66.7,839306,35
2014-08-01,2014-08-31,Hessen,2,31,16.4,13.7,2.7,80.0,839306,0
2019-03-01,2019-03-31,Hessen,1,31,7.8,19.5,2.9,73.2,839306,0
2012-08-01,2012-08-31,Thuringen,2,31,18.0,13.3,1.7,70.5,527936,6
2014-01-01,2014-01-31,Bremen,4,31,2.1,24.5,1.6,89.5,461,0
2021-02-01,2021-02-28,Hessen,4,28,4.8,12.7,1.9,81.1,841562,0
2018-04-01,2018-04-30,Bremen,1,30,11.7,20.4,2.7,79.2,461,0
2015-04-01,2015-04-30,Berlin,1,30,8.8,18.6,0.9,70.8,15752,0
2013-02-01,2013-02-28,Thuringen,4,28,-1.9,15.5,1.6,93.5,527936,0
2014-03-01,2014-03-31,Rheinland-Pfalz,1,31,7.5,15.1,0.5,75.2,805440,2
2010-10-01,2010-10-31,Mecklenburg-Vorpommern,3,31,8.8,22.1,1.4,84.6,490225,0
2018-07-01,2018-07-31,Saarland,2,31,20.7,10.9,1.0,69.8,85623,0
2017-05-01,2017-05-31,Bayern,1,31,11.4,10.1,5.6,84.1,2487176,6
2015-09-01,2015-09-30,Hessen,3,30,13.8,14.3,2.6,75.1,839306,0
2022-07-01,2022-07-31,Nordrhein-Westfalen,2,31,19.8,16.6,1.7,57.3,845939,48
2021-11-01,2021-11-30,Bayern,3,30,2.6,7.3,2.7,86.6,2492436,0
2010-02-01,2010-02-28,Mecklenburg-Vorpommern,4,28,-1.5,24.2,1.7,95.6,490225,0
2010-10-01,2010-10-31,Schleswig-Holstein,3,31,9.4,22.2,2.7,86.8,162014,0
2015-03-01,2015-03-31,Niedersachsen,1,31,5.4,24.4,2.0,78.1,1014470,3
2014-12-01,2014-12-31,Hamburg,4,31,2.4,26.1,3.8,90.4,4016,0
2022-05-01,2022-05-31,Thuringen,1,31,13.4,17.4,1.3,75.5,540752,2
2018-11-01,2018-11-30,Rheinland-Pfalz,3,30,6.2,14.6,1.4,83.3,805440,0
2020-03-01,2020-03-31,Sachsen-Anhalt,1,31,5.4,20.7,1.3,71.8,456545,1
2022-09-01,2022-09-30,Sachsen-Anhalt,3,30,14.6,15.3,2.8,66.4,460769,10
2013-05-01,2013-05-31,Berlin,1,31,13.9,17.7,3.8,73.8,15752,0
2021-01-01,2021-01-31,Bremen,4,31,1.4,20.4,2.6,88.8,436,0
2011-08-01,2011-08-31,Mecklenburg-Vorpommern,2,31,17.0,20.4,5.5,83.7,490225,0
2011-10-01,2011-10-31,Thuringen,3,31,8.8,15.6,0.9,82.4,527936,0
2012-11-01,2012-11-30,Bremen,3,30,5.4,20.2,1.5,89.6,461,0
